postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
8685;ΣΙΓΑΣ/2289;ΣΙΓΑΣ/2289;Σιγαστήρες μηχανής Ιταλίας;σιγαστηρες-σκαφων-2.jpg;Χωρητικότητα;33 λίτρα;Διάμετρος;75-90 mm;Μήκος;76 cm;Ύψος;49 cm;;;;
8689;ΒΑΘ/1224100;ΒΑΘ/1224100;Βαθυσκόπιο ιταλίας;βαθυσκοπια-σκαφων.jpg;Ύψος;51 cm;;;;;;;;;;
8771;ΛΑΣ/80032;ΛΑΣ/80032;Λάστιχα ντίζας 100mm;ντιζες-χειριστηριου-21.jpg;Διάμετρος;100mm;Ύψος;70mm;;;;;;;;
8773;ΛΑΣ/80036;ΛΑΣ/80036;Λάστιχα ντίζας 90mm;ντιζες-χειριστηριου-22.jpg;Διάμετρος;90mm;Ύψος;100mm;;;;;;;;
8775;ΛΑΣ/80040;ΛΑΣ/80040;Λάστιχα ντίζας 75mm;ντιζες-χειριστηριου-23.jpg;Διάμετρος;75mm;Ύψος;110mm;;;;;;;;
8797;ΚΑΛ/ΜΗΧ/30;ΚΑΛ/ΜΗΧ/30;Κάλυμμα εξωλέμβιας 15-30 hp;καλυμμα-εξωλεμβιας-μηχανης.jpg;Χρώμα;Λευκό;;;;;;;;;;
8804;ΕΤ/2007Λ;ΕΤ/2007Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-1.jpg;Διάμετρος;11 cm;Ύψος;8.5 cm;Τρύπα;16mm;;;;;;
8806;ΕΤ/2008Λ;ΕΤ/2008Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-3.jpg;Διάμετρος;12 cm;Ύψος;7 cm;Τρύπα;16mm;;;;;;
8808;ΕΤ/2023Λ;ΕΤ/2023Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-2.jpg;Διάμετρος;10 cm;Ύψος;5.5 cm;Τρύπα;16mm;;;;;;
8810;ΕΤ/2020Λ;ΕΤ/2020Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-8.jpg;Διάμετρος;10 cm;Ύψος;5.5 cm;Τρύπα;16mm;;;;;;
8812;ΕΤ/2019;ΕΤ/2019;Ράουλα trailer ελαστικά;ραουλα-trailer-9.jpg;Διάμετρος;7 cm;Ύψος;7 cm;Τρύπα;16mm;;;;;;
8814;ΕΤ/2015Λ;ΕΤ/2015Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-7.jpg;Διάμετρος;11.5 cm;Ύψος;11.5 cm;Τρύπα;16mm;;;;;;
8816;ΕΤ/2013Λ;ΕΤ/2013Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-6.jpg;Διάμετρος;11 cm;Ύψος;7.5 cm;Τρύπα;16mm;;;;;;
8818;ΕΤ/2012Λ;ΕΤ/2012Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-5.jpg;Διάμετρος;12 cm;Ύψος;8 cm;Τρύπα;16mm;;;;;;
8820;ΕΤ/2014Λ;ΕΤ/2014Λ;Ράουλα trailer ελαστικά;ραουλα-trailer-4.jpg;Διάμετρος;9 cm;Ύψος;19 cm;Τρύπα;16mm;;;;;;
8824;ΕΤ/2022;ΕΤ/2022;Ράουλα trailer ελαστικά;ραουλα-trailer-15.jpg;Διάμετρος;6 cm;Ύψος;20 cm;Τρύπα;16mm;;;;;;
8827;ΝΤΟΥΖ/20Α;ΝΤΟΥΖ/20Α;Ντουζ πλαστικό με σκανδάλη;ντουζακια-σκαφων-1.jpg;Διάμετρος;1/2';;;;;;;;;;
8829;ΝΤΟΥΖ/20F;ΝΤΟΥΖ/20F;Ντουζ χρωμέ με σκανδάλη;ντουζακια-σκαφων-3.jpg;Διάμετρος;1/2';;;;;;;;;;
8831;ΝΤΟΥΖ/22Β;ΝΤΟΥΖ/22Β;Ντουζ  ανοξείδωτο με κουμπί;ντουζακια-σκαφων-2.jpg;Διάμετρος;1/2';;;;;;;;;;
8842;ΣΩΛ/PVC;ΣΩΛ/PVC;Σωλήνας για ντουζ 2.5 μέτρα;ντουζ-σκαφων-13.jpg;Μήκος;2.5 μέτρα;Σπείρωμα;1/2';;;;;;;;
8844;ΔΟΧ/C11701;ΔΟΧ/C11701;Δοχείο με αντλία για νερό;ντουζ-σκαφων-11.jpg;Είσοδοι;19mm;Διαστάσεις;27.5x19 cm;;;;;;;;
8846;ΚΟΥΤΙ/5318011;ΚΟΥΤΙ/5318011;Κουτί για σωλήνα και ντουζ μεγάλο;ντουζ-σκαφων-12.jpg;Διαστάσεις;18x15 cm;;;;;;;;;;
8851;ΒΙΝ/800;ΒΙΝ/800;Bίντζια χειρός γαλβανιζέ;βιντζια-χειρος-1.jpg;Δύναμη;362 κιλά;;;;;;;;;;
